Symptom,Stealth,Resistance,Stage Speed,Transmission,Level,Required Chemical,Effect,Threshold
Acute Respiratory Distress Syndrome    , -2 , 0 , -1 , -2 , 7 , Decaying Uranium Gel/Unstable Uranium Gel , Causes heavy suffocation damage. Becomes even more lethal if the mob has more than 120 suffocation damage.,Stage Speed 8, Transmission 8
    Alkali perspiration    , 2 , -2 , -2 , -2 , 7 , Decaying Uranium Gel/Unstable Uranium Gel , Causes the affected mob to burst into flames periodically, while also giving them small doses of Napalm and Chlorine Trifluoride. If wet when bursting into flames, the victims will also explode. Explosions can happen in stage 4 and stage 5. ,Resistance 9, Stage Speed 8, Transmission 8
    Alopecia    , 0 , 1 , 2 , 2 , 4 , Unstable Mutagen/Sucrose Agar , Causes rapid hair loss., None
    Autophagocytosis Necrosis    , -2 , -2 , 1 , -2 , 7 , Decaying Uranium Gel/Unstable Uranium Gel , Causes the mob's cells to decay rapidly, causing brute damage, constant bleeding and elevated hunger.,Stage Speed 7, Stealth 5
    Choking    , -3 , -2 , -2 , -2 , 3 , Unstable Mutagen/Mutagenic Agar , Causes spikes of oxygen deprivation. Deals damage based on stage speed and stealth.,Stage Speed 8, Stealth 4
    Confusion    ,1 , -1 , -3 , 0 , 4 , Unstable Mutagen/Sucrose Agar , Makes the affected mob be confused for short periods of time, making them walk in random directions.,Resistance 6, Transmission 6, Stealth 4
    Coughing    , -1 , 3 , 1 , 2 , 1 , Virus Food/Virus Rations , The virus irritates the throat of the host, causing occasional coughing. Each cough will try to infect bystanders who are within 1 tile of the host with the virus.,Resistance 11, Resistance 15, Stage Speed 6, Transmission 7, Stealth 4
    Deafness    , -1 , -2 , -1 , -3 , 4 , Unstable Mutagen/Sucrose Agar , Causes intermittent loss of hearing., Resistance 9, Stealth 4
    Disfiguration    , 2 , 0 , 3 , 1 , 5 , Plasma/Weakened Virus Plasma , Causes the host's face to crumble and cave in, disfiguring the host to appear as "unknown" to others until cured.,None
    Dizziness    ,0 , -2 , -3 , -1 , 4 , Unstable Mutagen/Sucrose Agar , Shakes the affected mob's screen. ,Transmission 6, Stealth 4
    Dormant DNA Activator    , -2 , -3 , 0 , -3 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , The virus bonds with the DNA of the host, activating random dormant mutations within their DNA. When the virus is cured, the host's genetic alterations are undone.,Resistance 8, Resistance 14, Stage Speed 10, Stealth 5
    Eternal Youth    ,3 , 4 , 4 , -4 , 5 , Plasma/Weakened Virus Plasma , Makes you never physically older than young adulthood and prevents death by old age. Should be used for buffing your disease.,None
    Facial Hypertrichosis    , 0 , 3 , 2 , 1 , 4 , Unstable Mutagen/Sucrose Agar , Makes you grow a massive beard, regardless of gender.,None
    Fever    ,0 , 3 , 3 , 2 , 2 , Unstable Mutagen/Virus Food , Heats up your body. Will not reach damaging levels of heat unless resistance thresholds are met.,Resistance 5, Resistance 10
    Hallucigen    , -1 , -3 , -3 , -1 , 5 , Plasma/Weakened Virus Plasma , Makes the affected mob have hallucinations for short periods of time. Available in <a href="/wiki/Supply_crates#Virus_crate" title="Supply crates">Virus Crates</a>.,Stage Speed 7, Stealth 4
    Headache    , -1 , 4 , 2 , 0 , 1 , Virus Food/Virus Rations , Displays an annoying message! Should be used for buffing your disease.,Stage Speed 6, Stage Speed 9, Stealth 4
    Hyphema    , -1 , -4 , -4 , -3 , 5 , Plasma/Weakened Virus Plasma , Inflicts eye damage over time. Causes blindness if left unchecked.,Resistance 12, Stealth 4
    Inorganic Biology    , -1 , 4 , -2 , 3 , 5 , Plasma/Weakened Virus Plasma , The virus becomes able to affect inorganic species, such as <a href="/wiki/Golem" title="Golem">Golems</a> or <a href="/wiki/Plasmamen" title="Plasmamen" class="mw-redirect">Plasmamen</a>. , None
    Itching    ,0 , 3 , 3 , 1 , 1 , Virus Food/Virus Rations , Displays an annoying message. Should be used for buffing your disease. Can do slight brute damage if the stage speed threshold is met. ,Transmission 6, Stage Speed 7
    Metabolic Boost    , -1 , -2 , 2 , 1 , 7 , Decaying Uranium Gel/Unstable Uranium Gel , Doubles the host's metabolism speed, making them process chems much faster than normal, but also increasing their hunger tenfold. ,Stealth 3, Stage Speed 10
    Mind Restoration    , -1 , -2 , 1 , -3 , 5 , Plasma/Weakened Virus Plasma , The virus strengthens the bonds between neurons, reducing the duration of any ailment of the mind. Heals brain damage, and can cure mild and heavy traumas if upgraded. , Resistance 6, Resistance 9, Transmission 8
    Nano-symbiosis    , 0 , 2 , 2 , -1 , 7 , Decaying Uranium Gel/Unstable Uranium Gel , The virus reacts to nanites in the host's bloodstream by enhancing their replication cycle.,Stage Speed 7, Transmission 5
    Narcolepsy    , -1 , -2 , -3 , 0 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Makes the host drowsy and prone to falling asleep randomly.,Transmission 4, Stage Speed 10
    Necrotic Metabolism    , 2 , -2 , 1 , 0 , 5 , Plasma/Weakened Virus Plasma , The virus becomes able to affect corpses and undead races, instead of lying dormant. , None
    Necrotizing Fasciitis    , -3 , -4 , 0 , -3 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Causes brute damage over time. Fatal if left untreated.,Resistance 7, Transmission 8
    Nocturnal Regeneration    , 2 , -1 , -2 , -1 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Heals brute and burn damage if the host is not currently exposed to light. Heals brute damage more quickly than burn damage. ,Stage Speed 8
    Plasma Fixation    , 0 , 3 , -2 , -2 , 8 , Stable Uranium Gel , The host absorbs plasma in the air and in their bloodstream, using it to stabilize their temperature and heal brute, burn, and toxin damage.,Transmission 6, Stage Speed 7
    Polyvitiligo    , -1 , 3 , 1 , 2 , 5 , Plasma/Weakened Virus Plasma , The virus replaces the melanin in the skin with reactive pigment, by adding random <a href="/wiki/Guide_to_chemistry#Crayon_Powder" title="Guide to chemistry">crayon powder</a> to the host.,None
    Radioactive Resonance    , -1 , -2 , 0 , -3 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Heals brute, burn, and toxin damage while the host is irradiated. Higher radiation levels increase the healing speed. ,Transmission 6, Resistance 7
    Regenerative Coma    , 0 , 2 , -3 , -2 , 8 , Stable Uranium Gel , Causes the host to fall into a death-like coma when heavily damaged, then rapidly cures their wounds.,Stealth 2, Resistance 4, Stage Speed 7
    Self-Respiration    , 1 , -3 , -3 , -4 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Quickly heals oxygen damage, negating the need for air., Resistance 8
    Sensory Restoration    , 0 , 1 , -2 , 2 , 4 , Unstable Mutagen/Sucrose Agar , Restores mob's senses by fixing eye and ear damage and curing hallucinations.,None
    Shivering    ,0 , 2 , 3 , 2 , 2 , Unstable Mutagen/Virus Food , Cools down your body. Won't reach damaging levels unless thresholds are met.,Stage Speed 5, Stage Speed 10
    Silicolysis    , 0 , 4 , -1 , 1 , 7 , Decaying Uranium Gel/Unstable Uranium Gel , The virus reacts to nanites in the host's bloodstream by attacking and consuming them.,Stage Speed 5, Resistance 7
    Sneezing    , -2 , 3 , 0 , 4 , 1 , Virus Food/Virus Rations , The virus causes irritation of the nasal cavity, making the host sneeze occasionally. Sneezes from this symptom will spread the virus in a 4 meter cone in front of the host.,Transmission 9, Stage Speed 17, Stealth 4
    Spontaneous Combustion    , -1 , -4 , -3 , -4 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Sets your body on fire periodically.,Stage Speed 4, Stage Speed 8, Transmission 8, Stealth 4
    Starlight Condensation    , -1 , -2 , 0 , 1 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Heals brute, burn, and toxin damage while exposed to starlight. Heals toxin more efficiently. Actually being in space intensifies the effect. , Stage Speed 6, Transmission 6
    Tissue Hydration    , 0 , -1 , 0 , -1 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Heals brute and burn damage if the host drank water recently, or if they're wet. Heals burn damage more efficiently. ,Resistance 5, Stage Speed 7
    Toxolysis    , 0 , -2 , -2 , -2 , 7 , Decaying Uranium Gel/Unstable Uranium Gel , Purges all chemicals at a fast rate from the bloodstream.,Resistance 7, Stage Speed 6
    Viral Evolutionary Acceleration    , -2 , -3 , 5 , 3 , 3 , Unstable Mutagen/Mutagenic Agar , Massively buffs the evolutionary cycle of viruses, causing it to be faster acting, better at infecting, but more easily detected and cured.,None
    Viral Self-Adaptation    , 3 , 5 , -3 , 0 , 3 , Unstable Mutagen/Mutagenic Agar , Massively buffs the adaptation of viruses, causing it to be stealthier, harder to cure but slower acting.,None
    Voice Change    , -1 , -2 , -2 , 2 , 6 , Plasma/Decaying Uranium Gel/Virus Plasma , Changes the voice of the affected mob. Causing confusion in communication. Available in <a href="/wiki/Supply_crates#Virus_crate" title="Supply crates">Virus Crates</a>.,Transmission 14, Stage Speed 7, Stealth 3
    Vomiting    , -2 , -1 , -1 , 2 , 3 , Unstable Mutagen/Mutagenic Agar , Forces the affected mob to vomit! Makes the affected mob lose nutrition and heal toxin damage. ,Resistance 7, Transmission 7, Stealth 4
    Weight Loss    , -2 , 2 , -2 , -2 , 3 , Unstable Mutagen/Mutagenic Agar , The virus mutates the host's metabolism, making it almost unable to gain nutrition from food. ,Stealth 4
    
